@relation selectedTrain-weka.filters.unsupervised.attribute.Remove-R26-30-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R6

@attribute SBM_map67 numeric
@attribute FNC183 numeric
@attribute SBM_map61 numeric
@attribute FNC244 numeric
@attribute FNC295 numeric
@attribute SBM_map36 numeric
@attribute FNC37 numeric
@attribute FNC220 numeric
@attribute FNC78 numeric
@attribute FNC226 numeric
@attribute FNC189 numeric
@attribute FNC333 numeric
@attribute FNC211 numeric
@attribute FNC328 numeric
@attribute FNC171 numeric
@attribute FNC64 numeric
@attribute FNC353 numeric
@attribute FNC302 numeric
@attribute FNC243 numeric
@attribute SBM_map17 numeric
@attribute FNC293 numeric
@attribute Class {0,1}

@data
-0.541126,0.083238,0.359318,0.69985,-0.24269,0.72411,0.58556,0.050433,0.31977,0.7603,0.42131,0.49393,0.30558,0.3491,0.79538,0.6115,-0.5253,-0.14703,-0.42461,0.815227,0.43447,1
-0.300549,0.59092,-0.030364,0.37332,0.13801,-0.33609,0.44754,0.52456,-0.29877,0.42384,0.77866,0.64931,0.48699,0.28034,0.12321,0.44969,-0.22798,0.26329,0.75426,0.964257,-0.030647,0
-0.151419,-0.10562,0.509388,0.79577,0.28967,-0.826438,0.2594,-0.20591,-0.38842,0.31537,0.35562,0.42609,0.65484,0.21948,0.47791,0.58516,-0.12253,0.046087,0.11991,-0.090269,0.365,1
1.181878,0.10272,0.870602,-0.17004,0.48826,-1.542102,0.28081,0.73277,0.165,0.11645,0.52503,0.059411,0.5402,-0.11976,0.20933,0.31943,0.14575,0.17889,-0.55689,0.409148,0.54279,1
1.746816,-0.14353,-1.936309,0.35965,0.292,0.706268,-0.20474,0.095195,0.025483,0.1653,0.55613,0.18422,0.50275,-0.062468,0.16693,0.23402,0.213,0.3809,-0.087731,-0.979308,-0.29026,1
0.095542,-0.39756,-0.03908,-0.004355,-0.05225,-0.076487,-0.31576,0.49729,0.14388,-0.036286,0.63596,0.54637,0.025359,-0.05022,-0.16985,0.12517,-0.17532,0.36666,0.037163,0.050526,0.38348,1
-0.15438,0.1867,0.891421,-0.37728,0.031606,0.096437,0.096389,-0.11727,0.60041,-0.032725,0.079901,-0.11976,-0.032854,0.59834,0.52481,-0.11556,-0.068034,0.11542,-0.45281,-0.110928,-0.078843,1
-0.27686,-0.24363,0.669808,0.4171,0.15745,1.061121,0.60582,0.36081,-0.13889,0.63874,0.2921,0.3266,0.2284,-0.15285,0.37773,0.31425,-0.21841,0.23919,0.55072,-0.928513,-0.17026,0
-0.851443,0.35805,0.390848,0.56866,-0.23103,0.839983,0.42839,0.24205,-0.27373,0.64112,0.56692,-0.36487,0.80817,-0.037638,0.65808,0.61242,-0.17825,0.31418,0.6177,0.696539,-0.53305,0
0.785572,0.34062,-0.896406,0.6146,0.059605,-0.213169,0.098053,0.32366,0.30895,0.41569,0.47768,-0.049301,0.55868,0.087608,0.42541,-0.14133,-0.31681,-0.37201,0.073657,0.313224,0.11308,1
-1.522856,-0.31074,1.739382,0.46844,-0.038682,1.574719,-0.30467,-0.082366,0.37462,-0.081853,0.32415,-0.024663,-0.10941,0.40938,0.016546,0.34134,0.50052,-0.10686,-0.49831,-1.308689,0.42481,0
-0.454441,0.052357,0.023835,0.18998,0.13946,0.24791,0.35576,0.20699,-0.004787,0.011922,0.49725,0.10489,0.44192,0.007959,0.42478,0.072519,-0.078647,0.13072,0.43982,-0.26106,-0.15873,0
-0.958678,0.20134,1.678683,-0.15855,0.12366,0.157003,0.56627,0.35904,-0.33624,0.33036,0.58486,0.4669,0.3913,0.39407,0.21239,0.054271,-0.20903,-0.19769,-0.030169,1.500502,0.31731,0
-0.25677,0.26903,0.263038,-0.1774,-0.002989,0.833339,0.49942,0.34538,-0.11898,0.25228,0.2218,0.523,0.14574,0.27047,0.19985,0.40675,0.083208,0.49028,-0.38392,-0.051214,-0.0688,0
-0.553621,-0.46933,-0.048894,0.054234,0.033113,-0.666222,-0.068833,-0.20835,0.29823,0.24855,0.38353,-0.069973,0.45274,0.068944,-0.063851,0.059556,-0.020897,0.4535,0.079112,0.393087,0.18409,1
-0.816731,0.37356,-1.00868,0.24349,0.36118,1.085974,0.40617,0.078228,-0.31247,0.10577,0.59066,0.45094,0.32806,0.52697,-0.16246,0.24205,0.032741,0.29055,-0.24384,-0.668702,-0.000503,0
-0.400306,0.067898,-0.541425,-0.47115,0.29693,-0.027794,-0.19326,-0.1191,-0.19135,-0.4067,0.31332,0.15837,0.35321,0.20024,0.43844,0.15504,0.24021,0.52873,-0.50163,0.785658,0.40294,1
1.296183,-0.27292,-2.16359,0.031787,-0.19726,-1.68974,0.054622,0.15894,-0.091534,-0.19895,0.72339,0.39162,0.25674,0.19401,-0.01966,0.10966,0.36033,0.15952,0.47678,-0.781565,0.018804,1
1.227316,0.15304,-0.84739,0.08841,0.13205,-0.299223,0.005316,0.56502,-0.06321,0.54884,0.67857,0.17348,0.40275,-0.22075,0.23183,0.54008,0.046328,0.40129,0.51203,-1.668651,0.28047,0
1.034285,0.23197,1.284969,-0.091469,0.08886,0.132886,0.33986,0.51067,0.12362,-0.62104,0.42966,0.73664,0.6199,0.76548,0.24149,0.36027,-0.31661,0.654,0.70601,-1.579132,0.076393,0
-0.295414,-0.39817,0.793073,-0.35358,0.10954,0.099802,0.21724,0.1932,-0.21576,0.059304,0.29316,0.046182,0.041072,0.26581,-0.1797,0.1687,0.28551,-0.16245,0.042338,1.922207,-0.009633,1
0.114895,-0.1084,-0.014958,0.60399,-0.23016,-1.031406,0.47692,-0.34446,0.20863,0.3455,0.52325,0.22243,0.4336,0.076184,0.1212,0.27056,-0.27644,0.43909,0.67072,-1.001227,0.36231,0
-0.162409,0.13893,-0.054578,0.36264,0.28889,0.576202,0.1422,0.425,0.18871,0.64557,0.68647,0.25702,0.33696,0.5003,0.36968,0.33796,0.093948,0.73797,0.59157,-0.724117,0.17729,0
-1.115241,0.42228,0.925047,-0.078068,0.53906,-0.217495,0.48478,0.57057,-0.23668,0.1644,0.39908,0.26695,0.43443,0.35935,0.40609,0.58574,-0.40216,0.3518,0.69789,-0.652425,-0.028428,0
-0.160328,-0.18964,0.470231,-0.37464,0.26993,1.133788,-0.024449,-0.22914,-0.18601,-0.037175,0.51887,0.51137,0.29709,0.23285,0.2031,0.11951,-0.085128,0.41577,-0.69264,1.661508,-0.036845,0
0.104642,0.20865,0.190709,0.47672,0.28265,2.298306,0.33547,0.13709,-0.11554,-0.069856,0.64645,-0.095208,0.14169,0.1198,-0.097886,0.39517,-0.51764,0.22717,-0.23524,-1.112826,-0.34764,0
-0.116107,0.02458,0.31257,0.64822,0.15098,2.183937,-0.26756,-0.107,-0.19091,0.17904,0.5814,0.12158,0.55128,0.32556,0.2536,0.005514,-0.11989,0.46238,0.49713,-1.078386,0.21272,0
-0.853332,0.32756,-0.535058,0.46115,0.40694,0.567807,-0.15234,0.28495,-0.4858,-0.11705,0.42289,0.35115,0.42673,0.42231,0.044624,0.10567,-0.065332,0.28902,0.57813,0.313316,-0.13582,0
-0.303691,-0.3382,1.261871,-0.073679,0.45683,1.695977,0.26059,0.15078,-0.57744,-0.082081,0.29416,0.61648,0.19789,0.70461,-0.18353,-0.083445,-0.36047,0.45774,-0.24155,-0.789948,0.008608,0
0.463311,-0.54879,-0.562974,-0.26268,0.17327,-0.136786,0.065162,-0.031687,-0.23272,-0.16296,0.5039,-0.34811,0.40571,-0.094341,-0.30677,0.64106,0.15566,-0.23037,0.28979,-1.190072,0.4515,1
0.740836,0.082345,1.817908,0.19641,0.10523,1.999366,0.057703,0.20825,0.81899,0.34351,0.6737,0.29313,0.37057,-0.078436,0.15772,-0.6698,0.12918,0.29941,-0.047346,0.536783,0.34793,0
-0.619508,0.079288,-0.459463,0.39751,0.38803,0.92646,0.37382,0.7279,-0.30065,0.36441,0.31381,-0.16421,0.47446,0.1187,-0.43715,0.070606,-0.31672,0.40919,0.13945,-0.855983,-0.24693,0
0.291832,-0.26416,-0.148918,-0.28928,-0.086681,1.020028,-0.2423,-0.11879,-0.064369,-0.068817,0.41351,-0.024685,0.15595,-0.24929,0.28252,0.14939,-0.011133,0.61285,0.12326,0.674965,0.18546,1
1.490609,-0.035986,1.308194,0.42363,-0.05596,-0.223688,0.41911,0.38124,-0.066544,0.4977,0.67053,0.21578,0.40939,-0.066986,0.40577,0.49088,-0.54281,0.31124,0.37856,-0.242588,-0.28356,0
-1.286685,0.44329,0.242532,0.38704,0.67102,1.031603,0.3937,0.64575,0.14963,0.37573,0.61295,0.41467,0.56713,0.60758,0.024977,0.54701,-0.067761,0.3109,0.24722,-0.657044,-0.11571,0
-0.37042,-0.067177,0.31334,-0.10893,0.55713,0.21235,0.19867,0.01411,0.20476,-0.002408,0.55179,0.096644,0.3787,0.47914,-0.44505,-0.31826,-0.26609,0.20224,-0.082326,1.952477,0.12427,1
-1.241711,0.22832,1.010662,0.5051,0.49371,0.057059,0.16403,0.4378,-0.2404,0.026811,0.67703,0.18563,0.67437,0.28279,0.23384,0.22648,0.26046,0.54842,0.02482,0.114295,-0.49058,0
3.6623,0.27526,0.328844,0.27124,0.13691,0.073576,0.58326,0.53791,-0.19988,0.55038,0.48781,0.48421,0.56739,0.27711,0.6538,0.26481,0.11182,0.53446,0.042845,-1.25134,-0.057655,1
-2.207213,0.084748,1.358058,0.2339,0.48934,0.890747,0.19943,0.12621,-0.35138,0.38586,0.27567,0.36706,0.063436,0.52554,0.43489,0.54933,-0.16582,0.37012,0.53742,-0.94901,0.37408,0
-0.624049,0.0768,1.205206,0.69737,0.12459,0.670296,0.005726,-0.041111,0.21031,0.23933,0.49031,0.10199,0.63333,0.31098,-0.086704,0.1579,-0.062327,-0.1238,0.40321,0.421326,0.46491,1
-0.573123,-0.13453,-0.731263,0.15319,0.32444,0.096806,0.19657,0.42317,-0.29494,0.19659,0.37939,0.28465,-0.11551,0.1773,0.050048,0.38348,0.12046,0.54264,0.088307,1.048551,-0.056801,0
-0.310613,0.006121,0.255447,0.31238,0.039543,-0.216066,0.44024,-0.066881,0.030614,0.098891,0.41193,0.077665,0.31913,0.28574,0.15063,0.30161,-0.17688,0.55449,-0.11207,1.152414,0.29811,1
-0.764717,-0.23921,0.2112,-0.21187,0.48713,0.070949,0.12988,-0.009825,-0.12774,0.027207,0.17939,0.25896,0.21929,0.31327,0.039618,0.43265,-0.021541,0.19057,-0.34616,1.300128,0.005064,1
1.68778,-0.11689,-1.495822,-0.42097,0.085624,-2.298281,0.11689,0.50993,0.1631,-0.082074,0.24022,-0.15491,0.18878,-0.36348,-0.059079,0.33756,-0.11173,0.063337,0.68191,0.101739,0.34857,1
-0.89901,-0.14191,1.854449,-0.45927,0.35857,-0.839369,-0.14501,0.17538,-0.4484,-0.45856,0.62587,0.56102,0.36646,0.75028,0.13174,0.0038,-0.30799,-0.021754,-0.7284,0.485566,0.44566,0
0.805988,-0.34843,-0.485633,-0.74083,-0.18548,-1.024459,0.39301,-0.38589,-0.16303,-0.09392,0.57988,0.064414,-0.22196,0.65483,0.22749,-0.33654,-0.35275,0.19563,-0.40991,0.089131,-0.40514,1
-0.741843,0.22595,-0.239258,0.66645,0.46733,-0.423453,0.006891,0.7316,-0.52256,-0.4502,0.4607,0.33032,-0.47121,0.68835,0.3465,0.90569,-0.67189,0.32763,-0.68706,1.751225,0.8435,0
-0.075136,-0.37011,0.219745,0.039845,0.050214,-0.267157,-0.33646,-0.18614,0.25004,-0.12617,0.63741,-0.2551,0.22877,0.007179,0.36276,0.40466,-0.037199,-0.19494,-0.47905,0.953549,0.087632,1
0.855635,-0.2124,1.242399,-0.17587,0.044904,0.886963,0.10138,0.11204,0.081406,-0.13406,0.5788,0.23955,-0.25947,0.28565,0.16412,-0.23073,-0.16628,0.41713,-0.29047,0.520785,0.43492,1
-0.435862,-0.040223,-0.002203,0.50629,0.29037,-1.699118,0.2123,0.17561,0.24473,0.39567,0.68304,0.17115,0.41525,-0.1262,0.10414,0.3928,-0.22154,0.4444,0.5103,-0.261503,0.19034,0
-0.056353,0.00079,-0.19789,0.24767,0.17695,-0.754607,0.29937,0.19551,-0.021544,-0.040774,0.45823,0.52981,0.64178,-0.021972,0.34625,0.43635,-0.020451,0.36152,0.18715,-1.657957,0.17929,0
-0.829939,-0.063277,1.589949,-0.013333,0.11912,0.263974,0.14441,0.34144,0.10252,0.019382,0.54516,0.18844,0.49389,0.083991,0.32979,0.323,0.13576,0.29505,-0.49648,1.150395,0.49046,0
1.992077,-0.68435,-2.316457,-0.71076,-0.39213,-0.314356,0.16469,0.18023,0.18308,-0.20368,0.35731,-0.24436,-0.11997,0.2285,-0.49039,-0.35958,0.39256,0.13942,-0.50653,-0.510329,0.49617,1
0.712864,0.13707,-0.515165,0.22009,0.27399,0.678611,-0.025485,0.44891,-0.26824,0.40639,0.7957,0.40533,0.75701,0.41657,-0.049649,0.042095,-0.074373,-0.17261,0.39444,1.552777,-0.02632,0
0.024986,-0.23565,0.818121,0.019426,0.41762,-0.362741,-0.19286,0.23712,-0.31712,0.18719,0.73754,0.64246,0.41238,0.16061,0.25259,0.4742,-0.41475,0.74995,0.4833,-0.746065,0.006358,0
0.726056,-0.076916,-0.279535,-0.27589,0.18938,-1.34273,0.085103,0.37338,0.71491,0.3323,0.45211,0.3923,0.51261,0.14936,-0.16799,0.40013,0.16205,0.39247,0.025483,1.760016,0.12108,1
-0.844496,-0.23758,-0.723728,-0.3178,0.14531,-1.251747,-0.062906,-0.10994,0.030818,-0.32571,0.4003,0.3899,0.1628,-0.15056,-0.017936,0.069667,-0.014358,0.5074,0.24184,1.439016,0.20157,1
-0.097483,0.58689,-0.935685,0.14159,0.59417,-0.844142,0.50498,0.53428,-0.004916,-0.081816,0.18166,0.0717,0.54587,0.59735,0.046438,0.43337,0.14108,0.32792,0.19395,-1.893651,-0.080156,1
1.061805,-0.58873,-1.929018,0.12048,-0.1577,-0.594283,0.044862,0.23239,0.46431,-0.41681,0.77866,0.47985,0.3985,-0.1385,-0.52785,0.12372,0.75377,0.14752,-0.52917,2.959008,-0.15823,1
-0.081175,0.27825,1.33284,-0.46059,0.053518,1.172378,-0.16919,0.23111,0.10851,0.16359,0.40232,0.026126,-0.18757,0.19176,-0.069614,0.20361,-0.25203,0.13015,0.58503,-1.050905,0.19755,1
-0.405403,0.40882,-0.241099,-0.068176,0.44003,-1.723418,0.29287,0.28524,0.36019,0.39325,0.82308,0.049803,0.52687,-0.01476,0.092371,0.47979,-0.068148,0.037097,-0.19454,-0.343106,0.22872,0
-0.012,0.12589,-1.512935,-0.49983,-0.54736,-0.160348,-0.38718,-0.23378,0.092521,-0.11209,-0.1472,0.54731,-0.452,0.016252,-0.10117,0.22926,0.055286,-0.14753,0.11938,-2.266664,0.10461,1
0.245642,0.079087,1.421189,0.81214,0.22022,1.441892,0.53166,0.14938,-0.20847,0.56917,0.55655,0.047621,0.66736,0.18227,0.4338,0.56583,0.18556,0.35827,0.5873,-1.258436,0.1084,0
0.437655,0.03646,-1.527078,0.33598,0.22284,0.004023,0.15971,0.1655,0.24831,0.22312,0.35368,0.47025,0.20543,-0.036642,0.03714,-0.099398,0.22215,0.16217,0.43399,1.412582,0.32741,1
0.434726,0.29928,0.593326,0.6366,0.30907,1.70099,0.44156,0.40415,-0.25277,0.45711,0.83694,-0.002385,0.68649,0.21966,0.14672,0.53263,-0.064364,0.46429,0.61539,-1.190472,0.003034,0
-0.730447,0.56314,0.904404,0.41563,0.2986,-0.05331,0.4532,0.67976,0.18295,0.5852,0.6708,0.41607,0.63372,-0.027336,0.78159,0.57586,-0.52833,-0.24882,0.61566,0.715796,-0.20114,0
0.285097,0.41657,-0.40415,0.73065,0.50172,-0.755042,0.5154,0.24914,-0.12326,0.55427,0.63022,0.54285,0.62087,0.50843,0.4053,0.25956,-0.48697,0.33332,-0.033563,-1.422164,0.26506,0
0.993815,-0.21458,-1.81511,-0.57707,-0.085857,-0.262802,-0.62207,0.018962,0.1176,-0.36842,0.52098,-0.089943,-0.11524,-0.38281,-0.4866,0.17303,-0.23823,-0.027,0.13564,0.51132,-0.096007,1
1.470473,0.15696,-0.887863,-0.36681,0.02802,-1.297359,0.086841,0.17124,0.2624,0.004235,0.67166,-0.55876,0.50563,-0.067619,0.40456,-0.31205,0.60377,0.41439,-0.3088,-1.141157,0.2482,1
1.12803,-0.45091,0.792805,0.15429,-0.44062,-0.512586,0.28191,-0.089937,0.43925,0.24443,-0.16975,-0.50957,0.372,0.64046,-0.057344,0.32423,0.017794,0.043291,-0.49687,0.218262,-0.013398,1
0.222902,0.43971,1.135537,0.14012,0.14895,-0.518182,0.29739,0.68437,-0.37982,0.41092,0.59412,0.16141,0.69438,0.39948,0.51253,0.61618,0.078601,0.39464,0.60835,0.59957,-0.23399,0
0.369724,0.21413,0.82691,0.43886,-0.25917,0.458916,0.53397,0.09508,-0.13101,0.5104,0.27339,0.52915,0.53191,0.42332,0.24302,0.69041,-0.46915,0.55766,0.61452,-0.112326,-0.20962,0
-0.455141,-0.011631,0.482055,-0.054774,0.54902,0.18324,0.31147,0.40388,0.15113,-0.25048,0.22531,0.1371,0.2364,0.28155,-0.040395,0.14624,-0.42424,0.37834,-0.70517,-0.347191,0.27219,0
-0.556896,0.15851,-0.114078,0.34096,0.50137,-0.976704,0.31798,0.19299,-0.24395,0.21539,0.19118,0.065537,0.1041,0.3302,0.084108,0.078168,0.42983,0.42845,0.40691,1.369376,0.71286,1
0.402673,0.30507,-0.163926,0.17445,0.51808,-0.385862,-0.041024,0.076266,0.15271,0.53616,0.892,0.58306,0.42695,0.51342,0.10895,0.15527,0.1589,0.26207,0.2667,-1.749746,-0.33403,0
1.358773,-0.44861,-0.626201,0.061353,-0.36492,-0.907096,-0.1782,0.28644,0.33081,-0.23112,0.19612,-0.011632,0.17588,-0.56472,-0.2056,-0.23413,-0.17677,-0.39793,-0.48561,-0.281454,0.42571,1
