@relation 'data-weka.filters.unsupervised.attribute.Remove-R1,3,6-10,12-15,17-23,25,27-66,68-92,94-99,101-136,138-196,198-239,241-251,253-274,277-326,328-410-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R1-3,8-9,13,16'

@attribute SBM_map17 numeric
@attribute SBM_map36 numeric
@attribute SBM_map61 numeric
@attribute SBM_map67 numeric
@attribute FNC68 numeric
@attribute FNC165 numeric
@attribute FNC208 numeric
@attribute FNC243 numeric
@attribute FNC244 numeric
@attribute Class {1,0}

@data
0.421326,0.670296,1.205206,-0.624049,0.047395,0.41731,0.075772,0.40321,0.69737,1
1.048551,0.096806,-0.731263,-0.573123,-0.28895,0.4653,0.49647,0.088307,0.15319,0
1.152414,-0.216066,0.255447,-0.310613,-0.17052,-0.15394,0.41976,-0.11207,0.31238,1
1.300128,0.070949,0.2112,-0.764717,-0.038958,0.085613,0.31697,-0.34616,-0.21187,1
0.101739,-2.298281,-1.495822,1.68778,-0.20319,-0.40771,0.28391,0.68191,-0.42097,1
0.485566,-0.839369,1.854449,-0.89901,-0.20567,0.18573,0.35853,-0.7284,-0.45927,0
0.089131,-1.024459,-0.485633,0.805988,-0.38718,0.39963,0.4431,-0.40991,-0.74083,1
1.751225,-0.423453,-0.239258,-0.741843,-0.59445,0.72777,0.72846,-0.68706,0.66645,0
0.953549,-0.267157,0.219745,-0.075136,0.16402,-0.14624,0.56315,-0.47905,0.039845,1
0.520785,0.886963,1.242399,0.855635,0.14288,0.48323,0.39419,-0.29047,-0.17587,1
-0.261503,-1.699118,-0.002203,-0.435862,-0.18524,0.13782,0.54567,0.5103,0.50629,0
-1.657957,-0.754607,-0.19789,-0.056353,-0.096981,0.2881,0.067428,0.18715,0.24767,0
1.150395,0.263974,1.589949,-0.829939,0.05978,0.44848,0.48396,-0.49648,-0.013333,0
-0.510329,-0.314356,-2.316457,1.992077,-0.38713,0.077289,0.327,-0.50653,-0.71076,1
1.552777,0.678611,-0.515165,0.712864,0.3605,0.069447,0.18035,0.39444,0.22009,0
-0.746065,-0.362741,0.818121,0.024986,-0.23731,-0.29716,0.12493,0.4833,0.019426,0
1.760016,-1.34273,-0.279535,0.726056,0.32956,0.36168,0.31877,0.025483,-0.27589,1
1.439016,-1.251747,-0.723728,-0.844496,-0.24966,0.063494,0.18144,0.24184,-0.3178,1
-1.893651,-0.844142,-0.935685,-0.097483,0.56059,0.54354,0.29958,0.19395,0.14159,1
2.959008,-0.594283,-1.929018,1.061805,-0.02372,0.14328,0.48068,-0.52917,0.12048,1
-1.050905,1.172378,1.33284,-0.081175,0.32139,0.15285,0.30111,0.58503,-0.46059,1
-0.343106,-1.723418,-0.241099,-0.405403,0.061253,-0.043359,0.67032,-0.19454,-0.068176,0
-2.266664,-0.160348,-1.512935,-0.012,0.22736,0.40945,0.11018,0.11938,-0.49983,1
-1.258436,1.441892,1.421189,0.245642,-0.079756,0.13314,0.55231,0.5873,0.81214,0
1.412582,0.004023,-1.527078,0.437655,0.31041,0.3783,0.28062,0.43399,0.33598,1
-1.190472,1.70099,0.593326,0.434726,-0.031754,0.47535,0.24682,0.61539,0.6366,0
0.715796,-0.05331,0.904404,-0.730447,0.32723,-0.33926,0.74954,0.61566,0.41563,0
-1.422164,-0.755042,-0.40415,0.285097,-0.2193,0.62605,0.55802,-0.033563,0.73065,0
0.51132,-0.262802,-1.81511,0.993815,0.28784,0.097606,0.1227,0.13564,-0.57707,1
-1.141157,-1.297359,-0.887863,1.470473,-0.35538,-0.21168,0.51537,-0.3088,-0.36681,1
0.218262,-0.512586,0.792805,1.12803,-0.38059,-0.078666,0.61348,-0.49687,0.15429,1
0.59957,-0.518182,1.135537,0.222902,0.15272,0.24191,0.64931,0.60835,0.14012,0
-0.112326,0.458916,0.82691,0.369724,0.018597,-0.59348,0.5074,0.61452,0.43886,0
-0.347191,0.18324,0.482055,-0.455141,-0.044203,0.17388,0.6301,-0.70517,-0.054774,0
1.369376,-0.976704,-0.114078,-0.556896,0.26282,-0.30757,0.1095,0.40691,0.34096,1
-1.749746,-0.385862,-0.163926,0.402673,0.01029,0.74013,0.79387,0.2667,0.17445,0
-0.281454,-0.907096,-0.626201,1.358773,0.18104,-0.1586,0.33133,-0.48561,0.061353,1
