@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E auc ---Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute FNC41 numeric
@attribute FNC45 numeric
@attribute FNC54 numeric
@attribute FNC91 numeric
@attribute FNC109 numeric
@attribute FNC119 numeric
@attribute FNC159 numeric
@attribute FNC161 numeric
@attribute FNC183 numeric
@attribute FNC189 numeric
@attribute FNC192 numeric
@attribute FNC213 numeric
@attribute FNC214 numeric
@attribute FNC224 numeric
@attribute FNC233 numeric
@attribute FNC243 numeric
@attribute FNC245 numeric
@attribute FNC275 numeric
@attribute FNC279 numeric
@attribute FNC292 numeric
@attribute FNC293 numeric
@attribute FNC337 numeric
@attribute FNC340 numeric
@attribute FNC342 numeric
@attribute FNC378 numeric
@attribute SBM_map45 numeric
@attribute SBM_map61 numeric
@attribute Class {0,1}

@data
-0.085225,0.18199,0.3498,0.11584,0.11151,0.55332,-0.38728,0.029298,0.32756,0.42289,-0.093293,0.085014,0.009341,0.18958,-0.32911,0.57813,-0.15148,-0.23002,0.052967,0.59543,-0.13582,0.28869,0.47163,-0.14995,0.47254,0.426242,-0.535058,0
0.11414,-0.03503,0.56403,-0.6386,0.72753,0.62751,0.29419,-0.3781,-0.3382,0.29416,0.38809,0.002359,0.16169,-0.091434,-0.37823,-0.24155,-0.073003,0.3528,0.25641,0.49227,0.008608,-0.23289,0.49825,-0.5673,-0.50749,-0.288184,1.261871,0
-0.48302,-0.52192,0.63937,0.10468,-0.014326,0.42056,0.19745,-0.090559,-0.54879,0.5039,0.20622,0.30805,-0.25259,-0.12987,0.080732,0.28979,-0.395,0.15539,0.54594,0.5916,0.4515,0.24936,0.60305,-0.51942,-0.054448,0.159089,-0.562974,1
-0.33301,-0.51767,0.93928,0.064602,0.28036,-0.053723,-0.31401,0.18262,0.082345,0.6737,0.57921,0.33016,-0.2709,-0.072547,-0.637,-0.047346,-0.10125,0.077108,-0.18577,0.35711,0.34793,0.32298,0.7909,-0.58452,0.26161,-0.516719,1.817908,0
0.44558,0.37726,0.31034,-0.10898,0.62731,0.76595,0.12228,-0.28123,0.079288,0.31381,0.02559,0.29703,0.285,0.0896,-0.25287,0.13945,0.26183,0.033,0.049975,0.35682,-0.24693,0.42061,0.12329,0.036849,-0.040934,-0.824236,-0.459463,0
0.050148,0.089284,0.26682,0.22018,-0.49213,0.65245,-0.16208,-0.058698,-0.26416,0.41351,0.22564,0.036663,0.096019,-0.023146,-0.21887,0.12326,-0.53175,-0.24534,0.039958,0.49778,0.18546,0.30384,0.50455,0.065454,0.26425,0.119019,-0.148918,1
0.53782,0.21505,0.49175,0.003633,0.38258,0.47943,0.047231,0.69243,-0.035986,0.67053,0.3987,0.62377,0.2847,0.27929,-0.057135,0.37856,0.30202,0.51754,0.29573,0.28462,-0.28356,-0.042048,0.24828,-0.021263,-0.23778,-1.759743,1.308194,0
0.51708,0.24975,0.66578,0.22923,0.1328,0.73535,0.25952,-0.052302,0.44329,0.61295,0.5438,0.64537,0.64449,0.29741,0.15207,0.24722,-0.2238,0.20317,0.14038,0.52837,-0.11571,0.54161,0.27302,0.037237,0.36896,-0.715369,0.242532,0
-0.026223,-0.33653,0.71374,-0.043643,0.60525,0.2601,-0.51599,-0.16652,-0.067177,0.55179,0.56218,0.021357,-0.00445,-0.3451,0.031709,-0.082326,-0.56882,0.22131,0.11413,0.30039,0.12427,0.74045,0.025953,-0.31789,-0.119,1.240459,0.31334,1
0.20538,-0.16619,0.75242,-0.10316,0.45265,0.20405,-0.25792,0.16503,0.22832,0.67703,0.43711,-0.064365,0.1387,-0.071788,0.036753,0.02482,0.020471,-0.016046,-0.45352,0.36052,-0.49058,0.10825,0.74874,-0.43419,0.25158,0.369275,1.010662,0
0.43661,-0.20185,0.66724,-0.41319,0.65864,0.72481,0.2732,0.32376,0.27526,0.48781,0.75225,0.75709,-0.015794,0.19902,0.043999,0.042845,0.23959,0.42688,-0.18296,0.011314,-0.057655,0.14833,0.17852,0.12906,-0.026341,1.429445,0.328844,1
-0.14187,-0.037117,0.75031,-0.29797,-0.15775,0.60359,0.092636,0.18792,0.084748,0.27567,-0.023206,0.12789,0.21965,-0.17955,-0.27006,0.53742,-0.023413,0.15389,0.15057,0.38594,0.37408,0.096139,0.18046,-0.054311,0.35362,-1.014851,1.358058,0
0.027753,0.038297,0.25388,0.54328,0.48625,0.41301,-0.12891,0.13229,0.0768,0.49031,0.20333,0.12789,0.2837,-0.1541,-0.18481,0.40321,0.52895,0.45579,0.15429,0.33401,0.46491,0.52311,0.38572,-0.15237,0.29377,2.039716,1.205206,1
0.13718,-0.18004,0.61161,-0.34966,0.59935,-0.24975,-0.16977,0.35958,-0.13453,0.37939,0.098309,0.26392,0.04363,0.086924,-0.33694,0.088307,-0.44943,-0.27606,-0.39618,0.83848,-0.056801,-0.16787,0.32629,-0.32661,-0.36478,0.447222,-0.731263,0
-0.22724,-0.11069,0.21756,-0.082715,0.27515,0.58932,0.29229,-0.24483,0.006121,0.41193,0.25595,0.10142,-0.18456,0.075448,-0.19389,-0.11207,-0.26713,-0.090701,0.021551,0.27986,0.29811,0.062735,0.30611,-0.36059,0.17616,-0.459406,0.255447,1
-0.066005,-0.026704,0.44931,0.11784,-0.041469,0.68021,0.3757,0.032939,-0.23921,0.17939,0.41401,0.14789,-0.22799,0.37902,0.031575,-0.34616,-0.1029,0.43435,0.28285,0.44052,0.005064,0.56039,0.70582,0.049302,0.21896,0.300208,0.2112,1
0.22397,0.074808,0.6581,-0.001907,-0.35063,0.51568,-0.018065,-0.40914,-0.11689,0.24022,-0.4678,0.56573,-0.058012,-0.30603,-0.4044,0.68191,0.075575,0.46511,0.26461,0.55769,0.34857,-0.003836,0.43237,-0.18955,0.40094,0.800728,-1.495822,1
0.23053,0.16423,0.70557,-0.43524,0.73758,0.42597,0.073363,0.014938,-0.14191,0.62587,0.74661,0.55077,0.12339,0.41936,-0.42506,-0.7284,-0.31096,0.23997,0.38197,0.52391,0.44566,-0.47003,0.13932,-0.37077,-0.48985,-0.016251,1.854449,0
-0.22861,-0.46687,0.75378,-0.5726,0.039037,0.26016,-0.48534,0.017014,-0.34843,0.57988,0.04444,0.36684,-0.29601,-0.17266,-0.006877,-0.40991,0.092601,-0.011555,0.43016,0.04683,-0.40514,0.62094,0.21799,-0.25269,-0.25197,-0.851983,-0.485633,1
0.18366,-0.052471,0.93792,-0.85407,0.73198,0.80611,-0.6257,0.67653,0.22595,0.4607,0.10463,0.42387,0.81492,0.26785,-0.58043,-0.68706,-0.59736,0.17333,-0.016199,0.437,0.8435,-0.041923,-0.10914,-0.33124,-0.042407,-0.44851,-0.239258,0
0.13597,-0.48662,0.43314,-0.20699,0.094674,0.31329,0.091632,-0.35025,-0.37011,0.63741,0.32476,0.10299,-0.10797,0.30079,0.22752,-0.47905,-0.22713,0.14635,0.11273,0.006153,0.087632,-0.27242,0.77867,-0.69902,-0.47108,-0.738166,0.219745,1
-0.43842,-0.45923,0.086189,-0.13016,0.093,0.42593,0.10543,0.24519,-0.2124,0.5788,0.34798,0.27075,0.21274,0.36047,-0.1279,-0.29047,-0.29023,0.10744,0.000297,0.44427,0.43492,0.45715,-0.086399,0.4804,0.55614,0.714465,1.242399,1
-0.28035,-0.21602,0.012094,-0.18311,0.067728,0.62386,-0.054575,0.18673,-0.040223,0.68304,0.40402,0.019559,0.035747,0.10686,-0.014208,0.5103,0.16655,-0.30717,0.11212,0.32646,0.19034,0.43879,0.58012,-0.065083,0.025182,-0.647442,-0.002203,0
-0.052976,0.23188,0.80259,0.047405,0.20773,0.3927,-0.46015,0.058865,0.00079,0.45823,0.33427,-0.3961,-0.47345,-0.19587,-0.19816,0.18715,-0.032375,-0.29648,0.17686,0.2163,0.17929,0.20664,0.54603,0.036904,-0.016053,0.833684,-0.19789,0
0.12074,-0.12164,0.28101,0.24142,0.45668,0.32048,0.075644,-0.11438,-0.063277,0.54516,0.44226,0.14546,0.24431,0.23709,0.037357,-0.49648,0.071789,-0.014488,-0.35735,0.27373,0.49046,0.24582,0.3604,0.44177,0.58045,-0.286676,1.589949,0
-0.3079,0.18207,0.67624,-0.41893,0.50208,0.35918,0.21001,-0.007554,-0.68435,0.35731,0.64687,0.20345,-0.18422,0.038951,0.082069,-0.50653,0.29877,0.041218,0.48756,0.33344,0.49617,0.011978,-0.3708,-0.09475,0.50117,0.171127,-2.316457,1
-0.16733,-0.02428,0.031755,0.012583,-0.22106,0.33862,0.23331,0.12254,0.13707,0.7957,0.69239,-0.038901,-0.09661,0.24189,-0.63656,0.39444,-0.00311,0.18248,0.03938,0.37003,-0.02632,0.21801,0.30089,0.31647,0.39533,0.950851,-0.515165,0
-0.45473,-0.28143,0.58725,0.6078,-0.41513,0.13056,-0.18187,-0.31363,-0.23565,0.73754,0.37295,-0.31093,-0.28826,0.13841,-0.049408,0.4833,0.40788,-0.4293,-0.63678,0.37307,0.006358,0.12238,0.59398,-0.31433,-0.11185,0.000203,0.818121,0
-0.064355,0.37249,0.62801,-0.1285,0.41813,0.50986,-0.025525,-0.055166,-0.076916,0.45211,0.71573,0.32396,0.14205,0.51558,-0.10248,0.025483,-0.084254,0.33553,0.43454,0.71961,0.12108,0.20822,-0.079636,0.27408,0.45256,-0.305735,-0.279535,1
-0.21255,-0.062669,0.55123,-0.15935,-0.092323,0.098956,-0.25461,0.13335,-0.23758,0.4003,0.42228,0.32134,0.079365,-0.12873,0.15824,0.24184,0.21516,-0.040729,-0.36657,0.61818,0.20157,0.27271,0.587,-0.41912,0.17552,-0.290127,-0.723728,1
0.40372,0.71525,0.69257,0.53785,0.51936,0.56661,0.65906,0.24596,0.58689,0.18166,0.64842,0.59423,0.7758,0.6132,-0.24147,0.19395,0.37308,-0.002637,0.84694,0.81539,-0.080156,0.67475,0.20745,0.51015,0.28,-1.18143,-0.935685,1
-0.11206,-0.14234,0.81147,-0.015229,0.80054,0.27779,-0.34892,-0.002827,-0.58873,0.77866,0.63838,0.03815,0.28315,-0.11966,0.55637,-0.52917,-0.071853,-0.057426,-0.014151,0.37674,-0.15823,0.59098,0.63482,-0.56087,0.48886,0.511272,-1.929018,1
0.32735,-0.28705,0.68255,0.1997,-0.27993,0.34627,0.29546,-0.17918,0.27825,0.40232,0.61221,0.32617,-0.064643,-0.23101,0.05826,0.58503,-0.014801,0.21351,0.53737,0.1413,0.19755,0.17642,-0.008595,-0.089332,0.4474,0.769642,1.33284,1
0.21049,-0.02734,0.3161,-0.010808,0.045922,0.25209,0.25522,0.3987,0.40882,0.82308,0.46998,0.48882,0.3023,-0.12603,0.055273,-0.19454,-0.13554,0.26069,0.24179,0.097816,0.22872,-0.17654,0.017429,-0.57613,0.43033,-0.524813,-0.241099,0
-0.58357,0.13084,-0.12248,-0.38603,-0.61129,0.79255,-0.40586,0.35479,0.12589,-0.1472,0.12932,0.48286,0.56208,0.048724,-0.18317,0.11938,-0.099314,-0.13541,0.54508,0.20361,0.10461,-0.082034,0.62621,-0.72895,-0.050594,0.917454,-1.512935,1
0.078755,-0.068475,-0.004171,-0.074433,0.29445,0.38823,-0.29735,0.12236,0.079087,0.55655,0.25192,0.20945,-0.47952,0.024545,-0.46402,0.5873,0.12518,0.3358,-0.23152,0.13803,0.1084,-0.15387,0.41306,-0.34263,0.39256,-0.281775,1.421189,0
-0.29849,-0.34688,0.71336,-0.004992,0.1001,0.26122,0.228,0.48733,0.03646,0.35368,0.6763,0.033985,0.22776,0.28756,-0.19946,0.43399,-0.001654,0.31018,0.20868,0.060403,0.32741,0.24319,0.34819,0.028015,0.11722,-1.611121,-1.527078,1
-0.14051,-0.29786,0.25022,0.23622,0.087465,0.40231,-0.10371,0.060556,0.29928,0.83694,0.53206,-0.19673,-0.3636,-0.28471,-0.11763,0.61539,-0.068891,-0.20392,-0.17563,0.44157,0.003034,0.29363,0.44414,0.15478,0.051359,1.896677,0.593326,0
0.3382,-0.060976,0.78339,0.017214,-0.17974,0.74217,-0.22578,-0.16575,0.56314,0.6708,0.72174,0.59925,-0.41017,-0.142,-0.39937,0.61566,-0.22371,0.28105,0.30522,0.5899,-0.20114,-0.13751,0.15817,0.036108,0.53946,-1.388324,0.904404,0
-0.015232,0.43551,0.32435,0.23143,0.67298,0.67419,-0.3857,0.54747,0.41657,0.63022,0.007088,0.21519,0.16546,-0.24963,-0.287,-0.033563,0.295,0.16033,0.6683,0.51495,0.26506,-0.43315,0.828,-0.72492,-0.041411,0.541745,-0.40415,0
-0.38847,-0.45143,0.049244,0.55449,0.045302,0.38013,-0.23567,0.21274,-0.21458,0.52098,0.25654,0.43345,-0.34846,-0.082876,0.37148,0.13564,-0.13036,-0.11905,-0.53623,0.18511,-0.096007,-0.25748,0.7711,-0.73116,0.35738,0.786443,-1.81511,1
0.42762,0.096527,0.43286,-0.23759,0.55333,0.39935,0.42842,0.61932,0.15696,0.67166,0.72676,0.34729,-0.087806,0.22421,0.23838,-0.3088,-0.18504,0.11497,0.39537,0.46316,0.2482,0.20576,0.17354,-0.60119,-0.054266,2.632448,-0.887863,1
0.070803,0.1378,0.6249,-0.75634,0.56518,0.75097,0.28657,-0.27407,-0.45091,-0.16975,0.91449,0.47573,-0.23242,0.28347,-0.29271,-0.49687,0.43233,0.24569,0.15923,0.25388,-0.013398,0.03295,0.069609,0.089452,0.39105,-0.888553,0.792805,1
0.64221,0.13486,0.58841,0.30867,0.16941,0.75994,0.26367,0.34322,0.43971,0.59412,0.70349,0.63996,0.2917,0.27292,0.21459,0.60835,0.16539,0.38762,0.076753,0.45372,-0.23399,-0.073305,0.59734,-0.43106,-0.39525,-1.291079,1.135537,0
0.24937,-0.10151,0.75424,0.16716,0.48617,0.68538,-0.014102,-0.55899,0.21413,0.27339,-0.12081,0.17384,0.32159,0.023969,-0.064043,0.61452,-0.38964,0.32735,-0.18975,0.14586,-0.20962,0.56253,0.35385,-0.067382,0.13069,-0.661153,0.82691,0
0.17314,0.025438,0.61052,-0.57925,0.78817,0.40781,-0.19043,-0.2821,-0.011631,0.22531,0.17179,0.035396,0.49646,-0.24296,0.43468,-0.70517,-0.28191,0.077601,-0.28887,0.39986,0.27219,0.25456,0.75935,-0.49457,0.36696,-0.293491,0.482055,0
0.029382,-0.24654,0.63454,0.15123,0.25883,0.41291,-0.023957,0.30418,0.15851,0.19118,0.7404,0.18929,0.27905,0.27109,-0.066548,0.40691,0.5502,0.000262,0.32173,0.5472,0.71286,0.34812,0.45952,0.056486,0.026923,-2.327743,-0.114078,1
-0.18625,0.065206,0.57338,-0.27345,0.14861,0.50999,-0.47528,0.46076,0.30507,0.892,0.45654,0.31296,0.20504,-0.19706,-0.49642,0.2667,0.078006,-0.063244,-0.066112,0.37117,-0.33403,0.22084,0.6462,-0.40525,0.42116,0.217715,-0.163926,0
0.38318,0.061936,0.514,0.11032,-0.12213,0.11745,-0.008795,0.19371,-0.44861,0.19612,0.52515,0.38801,-0.25563,-0.35081,-0.40447,-0.48561,-0.23201,0.49966,-0.055089,0.32159,0.42571,-0.27522,-0.13939,-0.13713,0.35683,1.656826,-0.626201,1
