@relation 'data-weka.filters.unsupervised.attribute.Remove-R1-23,25,27-31,33-64,66-214,216-225,227-251,253-257,259-274,277-320,322-323,325-326,328-333,335-410'

@attribute SBM_map61 numeric
@attribute SBM_map67 numeric
@attribute SBM_map75 numeric
@attribute FNC33 numeric
@attribute FNC183 numeric
@attribute FNC194 numeric
@attribute FNC220 numeric
@attribute FNC226 numeric
@attribute FNC243 numeric
@attribute FNC244 numeric
@attribute FNC289 numeric
@attribute FNC292 numeric
@attribute FNC295 numeric
@attribute FNC302 numeric
@attribute Class {1,0}

@data
0.023835,-0.454441,0.133765,0.36368,0.052357,0.10582,0.20699,0.011922,0.43982,0.18998,0.3461,0.3313,0.13946,0.13072,0
1.678683,-0.958678,0.966025,0.22946,0.20134,0.63181,0.35904,0.33036,-0.030169,-0.15855,0.1205,0.29632,0.12366,-0.19769,0
0.263038,-0.25677,1.430944,0.51587,0.26903,0.72275,0.34538,0.25228,-0.38392,-0.1774,0.19468,0.45893,-0.002989,0.49028,0
-0.048894,-0.553621,0.242875,0.21967,-0.46933,0.14854,-0.20835,0.24855,0.079112,0.054234,0.003765,0.29328,0.033113,0.4535,1
-1.00868,-0.816731,0.178177,0.56371,0.37356,0.34314,0.078228,0.10577,-0.24384,0.24349,0.069152,0.34933,0.36118,0.29055,0
-0.541425,-0.400306,-0.069215,-0.065057,0.067898,0.48666,-0.1191,-0.4067,-0.50163,-0.47115,0.23144,0.39833,0.29693,0.52873,1
-2.16359,1.296183,-2.009794,0.17661,-0.27292,0.38444,0.15894,-0.19895,0.47678,0.031787,0.15467,0.4268,-0.19726,0.15952,1
-0.84739,1.227316,0.6702,0.19313,0.15304,0.72641,0.56502,0.54884,0.51203,0.08841,0.17658,0.52956,0.13205,0.40129,0
1.284969,1.034285,0.762586,0.63817,0.23197,0.14567,0.51067,-0.62104,0.70601,-0.091469,0.030577,0.1325,0.08886,0.654,0
0.793073,-0.295414,1.170108,0.16082,-0.39817,0.55005,0.1932,0.059304,0.042338,-0.35358,0.63144,0.38609,0.10954,-0.16245,1
-0.014958,0.114895,-0.119103,0.46231,-0.1084,0.27275,-0.34446,0.3455,0.67072,0.60399,0.25978,0.32658,-0.23016,0.43909,0
-0.054578,-0.162409,-0.097151,0.23557,0.13893,0.48119,0.425,0.64557,0.59157,0.36264,0.11773,0.29998,0.28889,0.73797,0
0.925047,-1.115241,0.243221,0.70424,0.42228,0.70387,0.57057,0.1644,0.69789,-0.078068,0.1953,0.43938,0.53906,0.3518,0
0.470231,-0.160328,1.369418,0.60971,-0.18964,0.27161,-0.22914,-0.037175,-0.69264,-0.37464,0.49009,0.45025,0.26993,0.41577,0
0.190709,0.104642,1.142243,0.67894,0.20865,0.69269,0.13709,-0.069856,-0.23524,0.47672,0.17111,0.22372,0.28265,0.22717,0
0.31257,-0.116107,-0.348475,0.48692,0.02458,0.32624,-0.107,0.17904,0.49713,0.64822,0.1714,0.23049,0.15098,0.46238,0
-0.535058,-0.853332,-0.037143,0.54668,0.32756,0.073987,0.28495,-0.11705,0.57813,0.46115,0.070542,0.59543,0.40694,0.28902,0
1.261871,-0.303691,1.2841,-0.007812,-0.3382,0.16463,0.15078,-0.082081,-0.24155,-0.073679,0.14371,0.49227,0.45683,0.45774,0
-0.562974,0.463311,-0.999732,0.29531,-0.54879,0.36858,-0.031687,-0.16296,0.28979,-0.26268,0.11499,0.5916,0.17327,-0.23037,1
1.817908,0.740836,2.771659,0.45011,0.082345,0.26969,0.20825,0.34351,-0.047346,0.19641,-0.099782,0.35711,0.10523,0.29941,0
-0.459463,-0.619508,-0.26092,0.45524,0.079288,0.52012,0.7279,0.36441,0.13945,0.39751,0.20373,0.35682,0.38803,0.40919,0
-0.148918,0.291832,-0.243068,0.69594,-0.26416,0.67969,-0.11879,-0.068817,0.12326,-0.28928,0.23376,0.49778,-0.086681,0.61285,1
1.308194,1.490609,0.279144,0.50428,-0.035986,0.68356,0.38124,0.4977,0.37856,0.42363,0.24538,0.28462,-0.05596,0.31124,0
0.242532,-1.286685,2.346293,0.42398,0.44329,0.805,0.64575,0.37573,0.24722,0.38704,0.65352,0.52837,0.67102,0.3109,0
0.31334,-0.37042,0.522059,0.47644,-0.067177,0.5024,0.01411,-0.002408,-0.082326,-0.10893,0.36294,0.30039,0.55713,0.20224,1
1.010662,-1.241711,-0.444061,0.48528,0.22832,0.39867,0.4378,0.026811,0.02482,0.5051,0.23831,0.36052,0.49371,0.54842,0
0.328844,3.6623,0.191673,0.70845,0.27526,0.85264,0.53791,0.55038,0.042845,0.27124,-0.17373,0.011314,0.13691,0.53446,1
1.358058,-2.207213,1.443568,0.221,0.084748,0.40824,0.12621,0.38586,0.53742,0.2339,0.16582,0.38594,0.48934,0.37012,0
1.205206,-0.624049,1.211523,0.52317,0.0768,0.49781,-0.041111,0.23933,0.40321,0.69737,0.31049,0.33401,0.12459,-0.1238,1
-0.731263,-0.573123,-0.036369,0.19372,-0.13453,0.63826,0.42317,0.19659,0.088307,0.15319,0.59171,0.83848,0.32444,0.54264,0
0.255447,-0.310613,0.449715,0.18761,0.006121,0.57937,-0.066881,0.098891,-0.11207,0.31238,0.27878,0.27986,0.039543,0.55449,1
0.2112,-0.764717,-0.077936,0.63896,-0.23921,0.15395,-0.009825,0.027207,-0.34616,-0.21187,-0.075221,0.44052,0.48713,0.19057,1
-1.495822,1.68778,-1.067206,0.45305,-0.11689,0.00482,0.50993,-0.082074,0.68191,-0.42097,-0.058719,0.55769,0.085624,0.063337,1
1.854449,-0.89901,0.867489,0.33348,-0.14191,0.41675,0.17538,-0.45856,-0.7284,-0.45927,0.1328,0.52391,0.35857,-0.021754,0
-0.485633,0.805988,-0.537248,0.48907,-0.34843,0.02211,-0.38589,-0.09392,-0.40991,-0.74083,0.3322,0.04683,-0.18548,0.19563,1
-0.239258,-0.741843,0.416871,0.43328,0.22595,0.22943,0.7316,-0.4502,-0.68706,0.66645,0.65527,0.437,0.46733,0.32763,0
0.219745,-0.075136,-0.37338,0.36746,-0.37011,0.34989,-0.18614,-0.12617,-0.47905,0.039845,-0.11782,0.006153,0.050214,-0.19494,1
1.242399,0.855635,0.034357,0.057134,-0.2124,0.14064,0.11204,-0.13406,-0.29047,-0.17587,-0.22342,0.44427,0.044904,0.41713,1
-0.002203,-0.435862,-1.295671,0.55755,-0.040223,0.55108,0.17561,0.39567,0.5103,0.50629,0.10471,0.32646,0.29037,0.4444,0
-0.19789,-0.056353,-0.945018,0.49962,0.00079,0.55819,0.19551,-0.040774,0.18715,0.24767,-0.052749,0.2163,0.17695,0.36152,0
1.589949,-0.829939,1.473776,0.46074,-0.063277,0.50104,0.34144,0.019382,-0.49648,-0.013333,0.39575,0.27373,0.11912,0.29505,0
-2.316457,1.992077,-2.6771,0.31051,-0.68435,0.057036,0.18023,-0.20368,-0.50653,-0.71076,-0.17447,0.33344,-0.39213,0.13942,1
-0.515165,0.712864,1.167929,0.67306,0.13707,0.62933,0.44891,0.40639,0.39444,0.22009,-0.11054,0.37003,0.27399,-0.17261,0
0.818121,0.024986,0.054699,0.09421,-0.23565,0.28659,0.23712,0.18719,0.4833,0.019426,0.11792,0.37307,0.41762,0.74995,0
-0.279535,0.726056,0.148692,0.15866,-0.076916,0.45905,0.37338,0.3323,0.025483,-0.27589,0.32995,0.71961,0.18938,0.39247,1
-0.723728,-0.844496,-0.053879,0.33621,-0.23758,0.52151,-0.10994,-0.32571,0.24184,-0.3178,0.2254,0.61818,0.14531,0.5074,1
-0.935685,-0.097483,-0.384427,0.87758,0.58689,0.85597,0.53428,-0.081816,0.19395,0.14159,0.22812,0.81539,0.59417,0.32792,1
-1.929018,1.061805,-0.119782,0.13173,-0.58873,0.30463,0.23239,-0.41681,-0.52917,0.12048,0.48772,0.37674,-0.1577,0.14752,1
1.33284,-0.081175,0.700006,0.44264,0.27825,0.33394,0.23111,0.16359,0.58503,-0.46059,0.020654,0.1413,0.053518,0.13015,1
-0.241099,-0.405403,-0.72245,0.31046,0.40882,0.44853,0.28524,0.39325,-0.19454,-0.068176,0.29824,0.097816,0.44003,0.037097,0
-1.512935,-0.012,-1.740839,0.20496,0.12589,-0.17317,-0.23378,-0.11209,0.11938,-0.49983,0.22548,0.20361,-0.54736,-0.14753,1
1.421189,0.245642,1.059759,0.33106,0.079087,0.49575,0.14938,0.56917,0.5873,0.81214,0.10745,0.13803,0.22022,0.35827,0
-1.527078,0.437655,0.619411,0.25183,0.03646,0.15887,0.1655,0.22312,0.43399,0.33598,0.065786,0.060403,0.22284,0.16217,1
0.593326,0.434726,-0.323557,0.58923,0.29928,0.27137,0.40415,0.45711,0.61539,0.6366,0.31628,0.44157,0.30907,0.46429,0
0.904404,-0.730447,0.156895,0.72965,0.56314,0.26825,0.67976,0.5852,0.61566,0.41563,0.32944,0.5899,0.2986,-0.24882,0
-0.40415,0.285097,-0.540947,0.51229,0.41657,0.64638,0.24914,0.55427,-0.033563,0.73065,0.079378,0.51495,0.50172,0.33332,0
-1.81511,0.993815,-0.841652,-0.092706,-0.21458,-0.15628,0.018962,-0.36842,0.13564,-0.57707,0.41768,0.18511,-0.085857,-0.027,1
-0.887863,1.470473,-0.245026,0.48604,0.15696,0.70361,0.17124,0.004235,-0.3088,-0.36681,0.009499,0.46316,0.02802,0.41439,1
0.792805,1.12803,0.126928,0.10362,-0.45091,-0.19998,-0.089937,0.24443,-0.49687,0.15429,-0.36078,0.25388,-0.44062,0.043291,1
1.135537,0.222902,0.325227,0.79996,0.43971,0.78229,0.68437,0.41092,0.60835,0.14012,0.67123,0.45372,0.14895,0.39464,0
0.82691,0.369724,0.567717,0.53835,0.21413,0.45555,0.09508,0.5104,0.61452,0.43886,0.28634,0.14586,-0.25917,0.55766,0
0.482055,-0.455141,0.977018,0.4121,-0.011631,0.21737,0.40388,-0.25048,-0.70517,-0.054774,0.0007,0.39986,0.54902,0.37834,0
-0.114078,-0.556896,-0.424864,0.35735,0.15851,0.40741,0.19299,0.21539,0.40691,0.34096,0.62683,0.5472,0.50137,0.42845,1
-0.163926,0.402673,-0.42104,0.29361,0.30507,0.15772,0.076266,0.53616,0.2667,0.17445,0.27312,0.37117,0.51808,0.26207,0
-0.626201,1.358773,-1.125141,0.15613,-0.44861,0.32686,0.28644,-0.23112,-0.48561,0.061353,0.040208,0.32159,-0.36492,-0.39793,1
